source,target,weight,severity,shared_drugs
Azole Antifungal,Kinase Inhibitor,11,CONTRAINDICATED,"bosutinib, erlotinib, everolimus, fluconazole, gefitinib, itraconazole, ketoconazole, nilotinib"
Anti-Epileptic Agent,Mood Stabilizer,10,CONTRAINDICATED,"carbamazepine, ethosuximide, felbamate, lamotrigine, methsuximide, oxcarbazepine, phenytoin, valproic"
Azole Antifungal,Nonsteroidal Anti-Inflammatory Drug,9,CONTRAINDICATED,"celecoxib, fluconazole, flurbiprofen, ibu, ibuprofen, ketoconazole, meloxicam, naproxen"
Histamine-2 Receptor Antagonist,Nonsteroidal Anti-Inflammatory Drug,9,CONTRAINDICATED,"aspirin, cimetidine, diflunisal, ibu, ibuprofen, indomethacin, meloxicam, nabumetone"
Calcineurin Inhibitor Immunosuppressant,Nonsteroidal Anti-Inflammatory Drug,9,CONTRAINDICATED,"aspirin, cyclosporine, ibu, indomethacin, ketoprofen, naproxen, piroxicam, sulindac"
Azole Antifungal,Corticosteroid,9,CONTRAINDICATED,"budesonide, dexamethasone, fluconazole, itraconazole, ketoconazole, methylprednisolone, posaconazole, prednisone"
Azole Antifungal,Dihydropyridine Calcium Channel Blocker,9,CONTRAINDICATED,"felodipine, fluconazole, isradipine, itraconazole, ketoconazole, nifedipine, nisoldipine, posaconazole"
Azole Antifungal,Calcineurin Inhibitor Immunosuppressant,8,CONTRAINDICATED,"clotrimazole, cyclosporine, fluconazole, itraconazole, ketoconazole, posaconazole, tacrolimus, voriconazole"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,8,CONTRAINDICATED,"efavirenz, emtricitabine, emtricitabine and tenofovir disoproxil fumarate, nevirapine, retrovir, rilpivirine, tenofovir disoproxil fumarate, zidovudine"
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Rifamycin Antimycobacterial,8,CONTRAINDICATED,"biktarvy, emtricitabine, odefsey, retrovir, rifabutin, rilpivirine, tenofovir disoproxil fumarate, zidovudine"
Azole Antifungal,Benzodiazepine,7,CONTRAINDICATED,"alprazolam, clotrimazole, diazepam, fluconazole, itraconazole, ketoconazole, triazolam"
Benzodiazepine,Mood Stabilizer,7,CONTRAINDICATED,"alprazolam, carbamazepine, clobazam, clonazepam, diazepam, lorazepam, triazolam"
Anti-Epileptic Agent,Atypical Antipsychotic,7,CONTRAINDICATED,"clozapine, lamotrigine, olanzapine, phenytoin, quetiapine, valproic, valproic acid"
Atypical Antipsychotic,Mood Stabilizer,7,CONTRAINDICATED,"aripiprazole, carbamazepine, clozapine, olanzapine, paliperidone, quetiapine, risperidone"
Azole Antifungal,Hmg-Coa Reductase Inhibitor,7,CONTRAINDICATED,"itraconazole, ketoconazole, lovastatin, posaconazole, rosuvastatin, simvastatin, voriconazole"
