id,drug_count,severity
Nonsteroidal Anti-Inflammatory Drug,840,CONTRAINDICATED
Corticosteroid,789,MAJOR
Benzodiazepine,475,CONTRAINDICATED
Thiazide Diuretic,460,MAJOR
Atypical Antipsychotic,356,CONTRAINDICATED
Azole Antifungal,308,CONTRAINDICATED
Anti-Epileptic Agent,292,MAJOR
Muscle Relaxant,260,MODERATE
Sulfonylurea,247,CONTRAINDICATED
Angiotensin 2 Receptor Blocker,235,CONTRAINDICATED
Proton Pump Inhibitor,218,CONTRAINDICATED
Loop Diuretic,216,MAJOR
Hmg-Coa Reductase Inhibitor,192,CONTRAINDICATED
Histamine-2 Receptor Antagonist,185,MAJOR
Nitroimidazole Antimicrobial,182,CONTRAINDICATED
Herpes Simplex Virus Nucleoside Analog Dna Polymerase Inhibitor,179,MINOR
Peroxisome Proliferator Receptor Alpha Agonist,179,CONTRAINDICATED
Xanthine Oxidase Inhibitor,163,CONTRAINDICATED
Beta-Adrenergic Blocker,154,CONTRAINDICATED
Estrogen,152,CONTRAINDICATED
Phosphodiesterase 5 Inhibitor,141,CONTRAINDICATED
Aldosterone Antagonist,137,CONTRAINDICATED
Retinoid,135,CONTRAINDICATED
Alpha-Adrenergic Blocker,122,CONTRAINDICATED
Dihydropyridine Calcium Channel Blocker,121,MAJOR
Amide Local Anesthetic,117,MAJOR
Nitrate Vasodilator,109,CONTRAINDICATED
Thiazide-Like Diuretic,103,MAJOR
Nucleoside Metabolic Inhibitor,102,MAJOR
5-Alpha Reductase Inhibitor,99,MODERATE
Alpha-Adrenergic Agonist,92,MAJOR
Kinase Inhibitor,90,CONTRAINDICATED
Fluoroquinolone Antibacterial,86,CONTRAINDICATED
Mood Stabilizer,86,CONTRAINDICATED
Serotonin-3 Receptor Antagonist,84,CONTRAINDICATED
Barbiturate,80,CONTRAINDICATED
Nitrofuran Antibacterial,73,UNKNOWN
Melatonin Receptor Agonist,72,MAJOR
Androgen,69,MODERATE
Aromatase Inhibitor,69,CONTRAINDICATED
Aminosalicylate,68,MODERATE
Cephalosporin Antibacterial,65,UNKNOWN
Angiotensin Converting Enzyme Inhibitor,65,CONTRAINDICATED
Factor Xa Inhibitor,64,MAJOR
Quinolone Antimicrobial,63,MODERATE
Insulin Analog,60,MODERATE
Alkaloid,59,CONTRAINDICATED
Radioactive Diagnostic Agent,58,MODERATE
Aluminum Complex,55,UNKNOWN
Sulfonamide Antimicrobial,52,CONTRAINDICATED
Lipopeptide Antibacterial,50,UNKNOWN
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,49,CONTRAINDICATED
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,46,CONTRAINDICATED
Antifibrinolytic Agent,45,CONTRAINDICATED
Thyroid Hormone Synthesis Inhibitor,44,UNKNOWN
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,44,CONTRAINDICATED
Platinum-Based Drug,44,MODERATE
Macrolide Antimicrobial,43,CONTRAINDICATED
Dietary Cholesterol Absorption Inhibitor,43,CONTRAINDICATED
Cardiac Glycoside,43,MAJOR
Glp-1 Receptor Agonist,42,MAJOR
Alkylating Drug,41,MAJOR
General Anesthetic,41,MAJOR
Sodium-Glucose Cotransporter 2 Inhibitor,40,MAJOR
Serotonin-1B And Serotonin-1D Receptor Agonist,40,CONTRAINDICATED
Microtubule Inhibitor,39,MAJOR
Anti-Anginal,38,CONTRAINDICATED
Vitamin C,38,MODERATE
Oxazolidinone Antibacterial,38,MAJOR
Bile Acid,37,UNKNOWN
Iron Chelator,37,MODERATE
Aromatic Amino Acid,37,CONTRAINDICATED
Tetracycline-Class Drug,36,UNKNOWN
Osmotic Laxative,36,MODERATE
P2Y12 Platelet Inhibitor,36,MODERATE
Prostaglandin E1 Analog,36,MAJOR
Pyridone,36,MODERATE
Phenothiazine,35,MAJOR
Provitamin D2 Compound,35,MODERATE
Sympathomimetic-Like Agent,33,MODERATE
Sulfone,32,MODERATE
Antimalarial,32,CONTRAINDICATED
Aromatic Amino Acid Decarboxylation Inhibitor,32,CONTRAINDICATED
Endothelin Receptor Antagonist,30,MODERATE
Anti-Coagulant,30,MAJOR
Anticholinergic,29,MODERATE
Bile Acid Sequestrant,29,UNKNOWN
Proteasome Inhibitor,29,UNKNOWN
Adenosine Receptor Agonist,29,MAJOR
Mtor Inhibitor Immunosuppressant,28,CONTRAINDICATED
Vitamin D3 Analog,28,MODERATE
Estrogen Receptor Antagonist,27,MAJOR
Carbonic Anhydrase Inhibitor,27,CONTRAINDICATED
Vitamin K,27,UNKNOWN
Thalidomide Analog,27,MODERATE
Antirheumatic Agent,25,MODERATE
Antimycobacterial,25,MAJOR
Chloride Channel Activator,24,UNKNOWN
Vitamin D2 Analog,24,MODERATE
Macrolide,24,CONTRAINDICATED
Arteriolar Vasodilator,24,UNKNOWN
Aminoglycoside Antibacterial,24,UNKNOWN
Purine Antimetabolite,23,MAJOR
Gamma-Aminobutyric Acid-Ergic Agonist,22,MODERATE
Antimetabolite,22,MAJOR
Tumor Necrosis Factor Blocker,21,MAJOR
Catechol-O-Methyltransferase Inhibitor,20,CONTRAINDICATED
Progestin,19,MODERATE
Dipeptidyl Peptidase 4 Inhibitor,19,MODERATE
Methylxanthine,19,MODERATE
L-Thyroxine,19,MODERATE
Glinide,19,UNKNOWN
Phosphodiesterase 4 Inhibitor,19,MAJOR
Central Alpha-2 Adrenergic Agonist,18,MODERATE
Cholinesterase Inhibitor,17,MODERATE
Radiographic Contrast Agent,17,MODERATE
Folate Analog Metabolic Inhibitor,17,MAJOR
Cytochrome P450 3A Inhibitor,17,CONTRAINDICATED
Calcineurin Inhibitor Immunosuppressant,17,CONTRAINDICATED
Potassium Binder,16,MODERATE
Histamine-1 Receptor Antagonist,16,CONTRAINDICATED
Beta3-Adrenergic Agonist,15,MODERATE
Androgen Receptor Inhibitor,15,MODERATE
Platelet Aggregation Inhibitor,15,UNKNOWN
Pyrimidine Synthesis Inhibitor,15,UNKNOWN
Gamma-Aminobutyric Acid A Receptor Agonist,15,MODERATE
Antiparasitic,15,UNKNOWN
Central Nervous System Stimulant,14,CONTRAINDICATED
Anthelmintic,14,CONTRAINDICATED
Antidote,14,MODERATE
Vesicular Monoamine Transporter 2 Inhibitor,13,CONTRAINDICATED
Potassium-Sparing Diuretic,13,MAJOR
Calcitonin,13,UNKNOWN
Parenteral Iron Replacement,13,UNKNOWN
Insulin,13,MODERATE
Leukotriene Receptor Antagonist,13,MODERATE
Nicotinic Acid,13,MODERATE
Vascular Endothelial Growth Factor Inhibitor,13,MAJOR
Dihydrofolate Reductase Inhibitor Antibacterial,12,CONTRAINDICATED
Interleukin-12 Antagonist,12,MODERATE
Prostaglandin Analog,12,CONTRAINDICATED
Protease Inhibitor,12,CONTRAINDICATED
Progesterone,12,MODERATE
Potassium Channel Blocker,12,MODERATE
Acetylcholine Release Inhibitor,11,MODERATE
Antiarrhythmic,11,CONTRAINDICATED
Substance P/Neurokinin-1 Receptor Antagonist,11,CONTRAINDICATED
Prostacycline Vasodilator,11,MODERATE
Phosphodiesterase 3 Inhibitor,11,MODERATE
Carnitine Analog,11,UNKNOWN
Vasopressin V2 Receptor Antagonist,10,CONTRAINDICATED
4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor,10,MAJOR
Benzodiazepine Antagonist,10,MODERATE
Rifamycin Antibacterial,10,CONTRAINDICATED
Cannabinoid,10,MODERATE
Partial Opioid Agonist,10,MAJOR
Interleukin-6 Receptor Antagonist,9,MODERATE
Vasodilator,9,UNKNOWN
Benzothiazole,9,MODERATE
Opioid Agonist,9,MAJOR
Ccr5 Co-Receptor Antagonist,9,UNKNOWN
Rifamycin Antimycobacterial,9,CONTRAINDICATED
Tetracycline-Class Antibacterial,9,UNKNOWN
5-Lipoxygenase Inhibitor,9,UNKNOWN
Cd20-Directed Cytolytic Antibody,8,MODERATE
Her2/Neu Receptor Antagonist,8,UNKNOWN
Adrenocorticotropic Hormone,8,MODERATE
Ergot Derivative,8,UNKNOWN
Lipid Emulsion,8,UNKNOWN
Lipid-Based Polyene Antifungal,7,MODERATE
Alpha-Glucosidase Inhibitor,7,UNKNOWN
Melanin Synthesis Inhibitor,7,MODERATE
Echinocandin Antifungal,7,UNKNOWN
Glucosylceramide Synthase Inhibitor,7,CONTRAINDICATED
Parathyroid Hormone Analog,7,MODERATE
Endoglycosidase,7,MODERATE
Nucleoside Analog Antifungal,7,UNKNOWN
Noncompetitive Ampa Glutamate Receptor Antagonist,7,MODERATE
Nucleoside Analog Antiviral,7,CONTRAINDICATED
Blood Viscosity Reducer,7,UNKNOWN
Reducing And Complexing Thiol,7,UNKNOWN
Dihydrofolate Reductase Inhibitor Antimalarial,7,UNKNOWN
Herpesvirus Nucleoside Analog Dna Polymerase Inhibitor,6,MINOR
Amino Acid,6,MODERATE
Osmotic Diuretic,6,MODERATE
Vitamin B12,6,UNKNOWN
Skin Test Antigen,6,MODERATE
Pharmacologic Cardiac Stress Test Agent,6,MAJOR
Typical Antipsychotic,6,CONTRAINDICATED
Beta Lactamase Inhibitor,6,MODERATE
Topoisomerase Inhibitor,6,MAJOR
Complement Inhibitor,5,UNKNOWN
Rna Synthetase Inhibitor Antibacterial,5,UNKNOWN
Histone Deacetylase Inhibitor,5,MAJOR
Aldehyde Dehydrogenase Inhibitor,5,MODERATE
Human Immunoglobulin G,5,MODERATE
Tubulin Inhibiting Agent,5,MAJOR
Progestin Antagonist,5,CONTRAINDICATED
Oxytocic,5,MAJOR
Expectorant,4,CONTRAINDICATED
Hepatitis C Virus Nucleotide Analog Ns5B Polymerase Inhibitor,4,CONTRAINDICATED
Hepatitis C Virus Ns5A Inhibitor,4,CONTRAINDICATED
Plasma Kallikrein Inhibitor,4,MODERATE
Cholecystokinin Analog,4,UNKNOWN
Antihypoglycemic Agent,4,UNKNOWN
Janus Kinase Inhibitor,4,CONTRAINDICATED
Macrolide Antibacterial,4,UNKNOWN
Cystic Fibrosis Transmembrane Conductance Regulator Potentiator,4,MAJOR
Sphingosine 1-Phosphate Receptor Modulator,4,MAJOR
Lincosamide Antibacterial,3,MAJOR
Ileal Bile Acid Transporter Inhibitor,3,UNKNOWN
Standardized Chemical Allergen,3,UNKNOWN
Prostacyclin Receptor Agonist,3,CONTRAINDICATED
Vitamin D,3,MAJOR
Somatostatin Analog,3,MODERATE
Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor,3,MODERATE
Cd38-Directed Cytolytic Antibody,3,MODERATE
Opioid Antagonist,3,MAJOR
Glycopeptide Antibacterial,3,MODERATE
Penem Antibacterial,3,MODERATE
Orexin Receptor Antagonist,3,MAJOR
Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody,3,MODERATE
Antiprotozoal,3,UNKNOWN
Integrin Receptor Antagonist,3,MODERATE
Recombinant Human Growth Hormone,3,MODERATE
Dopamine-2 Receptor Antagonist,3,MODERATE
Gonadotropin Releasing Hormone Receptor Antagonist,2,UNKNOWN
Photoenhancer,2,UNKNOWN
Interleukin-5 Antagonist,2,UNKNOWN
Intestinal Lipase Inhibitor,2,MODERATE
Neuraminidase Inhibitor,2,UNKNOWN
Vasoconstrictor,2,UNKNOWN
Hypoxia-Inducible Factor Prolyl Hydroxylase Inhibitor,2,CONTRAINDICATED
Monoamine Oxidase Inhibitor,2,CONTRAINDICATED
Copper-Containing Intrauterine Device,2,UNKNOWN
Neonatal Fc Receptor Blocker,2,UNKNOWN
Adrenal Steroid Synthesis Inhibitor,2,UNKNOWN
Adenosine Triphosphate-Citrate Lyase Inhibitor,2,MAJOR
Interleukin-23 Antagonist,2,MAJOR
Influenza A M2 Protein Inhibitor,2,MAJOR
Glucose-Dependent Insulinotropic Polypeptide Receptor Agonist,2,MODERATE
Partial Opioid Agonist/Antagonist,2,MAJOR
Bispecific Cd20-Directed Cd3 T Cell Engager,2,MAJOR
Anthrax Protective Antigen-Directed Antibody,2,UNKNOWN
Antimetabolite Immunosuppressant,2,MODERATE
Gonadotropin,2,UNKNOWN
Serotonin And Norepinephrine Reuptake Inhibitor,2,CONTRAINDICATED
Soluble Guanylate Cyclase Stimulator,2,CONTRAINDICATED
Catecholamine Synthesis Inhibitor,2,MODERATE
Nonergot Dopamine Agonist,2,MAJOR
Photoactivated Radical Generator,2,UNKNOWN
Plasma Volume Expander,2,MODERATE
Calcitonin Gene-Related Peptide Receptor Antagonist,2,MODERATE
Growth Hormone Secretagogue Receptor Agonist,2,MODERATE
