brand_name,full_label,strength,candidate_inn,rxnorm_cui,confidence,match_rule,source,needs_manual_review
AMLODIPINE MEDIS,AMLODIPINE MEDIS 10mg Comp.Pell.Séc. Bt 30,10mg,amlodipine,104416,high,label_alias:amlodipine,PCT,false
AMLODIPINE MEDIS,AMLODIPINE MEDIS 10mg Comp.Pell.Séc. Bt 90,10mg,amlodipine,104416,high,label_alias:amlodipine,PCT,false
AMLODIPINE MEDIS,AMLODIPINE MEDIS 5mg Comp.Pell.Séc. Bt 30,5mg,amlodipine,104416,high,label_alias:amlodipine,PCT,false
AMLODIPINE MEDIS,AMLODIPINE MEDIS 5mg Comp.Pell.Séc. Bt 90,5mg,amlodipine,104416,high,label_alias:amlodipine,PCT,false
AMLODIPINE ZENTIVA,AMLODIPINE ZENTIVA 10mg Comp Séc. Bt 30,10mg,amlodipine,104416,high,label_alias:amlodipine,PCT,false
AMLODIPINE ZENTIVA,AMLODIPINE ZENTIVA 5mg Comp Séc. Bt 30,5mg,amlodipine,104416,high,label_alias:amlodipine,PCT,false
AMLOR,AMLOR 10mg Gél. Bt 30,10mg,amlodipine,104416,medium,brand_seed,PCT,false
AMLOR,AMLOR 5mg Comp. Bt 30,5mg,amlodipine,104416,medium,brand_seed,PCT,false
AMLOR,AMLOR 5mg Comp. Bt 60,5mg,amlodipine,104416,medium,brand_seed,PCT,false
AMLOR,AMLOR 5mg Comp. Bt 90,5mg,amlodipine,104416,medium,brand_seed,PCT,false
AMOXICILLINE SANOFI,AMOXICILLINE SANOFI 1g Comp.Disp. Bt 12,1g,amoxicillin,133008,high,label_alias:amoxicillin,PCT,false
AMOXICILLINE SANOFI,AMOXICILLINE SANOFI 250mg/5ml Pdre.P.Susp.Or. Fl 60ml +Cuill.Dos.,250mg/5ml,amoxicillin,133008,high,label_alias:amoxicillin,PCT,false
AMOXICILLINE SANOFI,AMOXICILLINE SANOFI 500mg Gél. Bt 24,500mg,amoxicillin,133008,high,label_alias:amoxicillin,PCT,false
AMOXICILLINE SANOFI,AMOXICILLINE SANOFI 500mg/5ml Pdre.P.Susp.Or. Fl 60ml +Cuill.Dos.,500mg/5ml,amoxicillin,133008,high,label_alias:amoxicillin,PCT,false
AMOXICILLINE ZENTIVA,AMOXICILLINE ZENTIVA 500mg Gél. Bt 24,500mg,amoxicillin,133008,high,label_alias:amoxicillin,PCT,false
AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES,AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES 1gr/200mg Pdre.P.Prép.Inj. Bt 25Fl SS,1g,amoxicillin,133008,high,label_alias:amoxicillin,PCT,false
AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES,AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES 2gr/200mg Pdre.P.Prép.Inj. Bt 10Fl SS,2g,amoxicillin,133008,high,label_alias:amoxicillin,PCT,false
AMOXIL,AMOXIL 0.5gr Pdre.P.Prép.Inj Bt 1Fl+Solv./5ml,0.5g,amoxicillin,133008,medium,brand_seed,PCT,false
AMOXIL,AMOXIL 1gr Pdre.Prép.Inj Bt 1+S/5ml,1g,amoxicillin,133008,medium,brand_seed,PCT,false
AUGMENTIN,AUGMENTIN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml+Ser.Dos.,100mg/12.5mg,amoxicillin,133008,medium,brand_seed,PCT,false
AUGMENTIN,AUGMENTIN 1gr/125mg Pdre.P.Susp.Or. Bt 24 Sachets-doses,1g,amoxicillin,133008,medium,brand_seed,PCT,false
AUGMENTIN,AUGMENTIN 500mg/50mg Pdre.P.Prép.Inj. Bt 10 Fl SS,500mg/50mg,amoxicillin,133008,medium,brand_seed,PCT,false
ACETYLSALICYLATE DE LYSINE LABESFAL,ACETYLSALICYLATE DE LYSINE LABESFAL 500mg Pdre.Prép.Inj. Bt/6+6,500mg,aspirin,1191,high,label_alias:aspirin,PCT,false
ASPEGIC,ASPEGIC 0.500gr Pdre.P.Prép.Inj. Bt 20Fl,0.500g,aspirin,1191,medium,brand_seed,PCT,false
ASPEGIC,ASPEGIC 100mg Pdre.P.Sol.Or. Bt 30,100mg,aspirin,1191,medium,brand_seed,PCT,false
ASPEGIC,ASPEGIC 1gr Pdre.P.Prép.Inj. Bt 6+S/5ml,1g,aspirin,1191,medium,brand_seed,PCT,false
ASPEGIC,ASPEGIC 1gr Pdre.Prép.Inj. Bt 6+Solv./5ml,1g,aspirin,1191,medium,brand_seed,PCT,false
ASPEGIC,ASPEGIC 250mg Pdre.P.Sol.Or. Bt 16,250mg,aspirin,1191,medium,brand_seed,PCT,false
ASPEGIC,ASPEGIC 250mg Pdre.P.Sol.Or. Bt 20Sach.,250mg,aspirin,1191,medium,brand_seed,PCT,false
ASPEGIC,ASPEGIC 500mg Pdre.P.Sol.Or. Bt 16,500mg,aspirin,1191,medium,brand_seed,PCT,false
ASPEGIC,ASPEGIC 500mg Pdre.Sol.Or. Bt 20 Sachets,500mg,aspirin,1191,medium,brand_seed,PCT,false
ASPIRINE,ASPIRINE 500mg Comp. Bt 20,500mg,aspirin,1191,medium,brand_seed,PCT,false
ASPIRINE,ASPIRINE 500mg Comp. Bt 500,500mg,aspirin,1191,medium,brand_seed,PCT,false
ASPIRINE PH 8,ASPIRINE PH 8 500mg Comp.Pell. Bt 20,500mg,aspirin,1191,high,label_alias:aspirin,PCT,false
KARDEGIC,KARDEGIC 160mg Pdre.P.Sol.Or. Bt 20Sach.,160mg,aspirin,1191,medium,brand_seed,PCT,false
KARDEGIC,KARDEGIC 160mg Pdre.P.Sol.Or. Bt 30Sach.,160mg,aspirin,1191,medium,brand_seed,PCT,false
ATOR,ATOR 10mg Comp.Pell. Bt 28,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 10mg Comp.Pell. Bt 30,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 10mg Comp.Pell. Bt 56,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 10mg Comp.Pell. Bt 90,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 10mg Comp.Pell. Bt 91,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 20mg Comp.Pell. Bt 30,20mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 20mg Comp.Pell. Bt 90,20mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 40mg Comp.Pell. Bt 56,40mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 40mg Comp.Pell. Bt 92,40mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 40mg Comp.Pell.Séc. Bt 28,40mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 40mg Comp.Pell.Séc. Bt 30,40mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 40mg Comp.Pell.Séc. Bt 90,40mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 80mg Comp.Pell. Bt 30,80mg,atorvastatin,83367,medium,brand_seed,PCT,false
ATOR,ATOR 80mg Comp.Pell. Bt 90,80mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 10mg Comp.Pell. Bt 28,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 10mg Comp.Pell. Bt 56,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 10mg Comp.Pell. Bt 91,10mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 20mg Comp.Pell. Bt 28,20mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 20mg Comp.Pell. Bt 91,20mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 40mg Comp Pell. Bt 28,40mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 40mg Comp.Pell. Bt 91,40mg,atorvastatin,83367,medium,brand_seed,PCT,false
TAHOR,TAHOR 80mg Comp.Pell. Bt 28,80mg,atorvastatin,83367,medium,brand_seed,PCT,false
TEGRETOL,TEGRETOL 2% Susp.Buv. Fl 250ml,2%,carbamazepine,2002,medium,brand_seed,PCT,false
CLARITHROMYCINE ZENTIVA,CLARITHROMYCINE ZENTIVA 500mg Comp.Pell. Bt 14,500mg,clarithromycin,21212,high,label_alias:clarithromycin,PCT,false
ZECLAR,ZECLAR 250mg Comp.Pell. Bt 10,250mg,clarithromycin,21212,medium,brand_seed,PCT,false
ZECLAR,ZECLAR 250mg Comp.Pell. Bt 14,250mg,clarithromycin,21212,medium,brand_seed,PCT,false
ZECLAR,ZECLAR 500mg Comp.Pell. Bt 14,500mg,clarithromycin,21212,medium,brand_seed,PCT,false
CLOPIDOGREL PFIZER,CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 30,75mg,clopidogrel,236991,high,label_alias:clopidogrel,PCT,false
CLOPIDOGREL PFIZER,CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 90,75mg,clopidogrel,236991,high,label_alias:clopidogrel,PCT,false
PLAVIX,PLAVIX 300mg Comp.Pell. Bt 4,300mg,clopidogrel,236991,medium,brand_seed,PCT,false
PLAVIX,PLAVIX 75mg Comp.Pell. Bt 28,75mg,clopidogrel,236991,medium,brand_seed,PCT,false
VOLTARENE,VOLTARENE 100mg Suppo. Bt 10,100mg,diclofenac,3355,medium,brand_seed,PCT,false
VOLTARENE,VOLTARENE 12.5mg Suppo. Bt 10,12.5mg,diclofenac,3355,medium,brand_seed,PCT,false
VOLTARENE,VOLTARENE 25mg Comp.Gastro-résit. Bt 30,25mg,diclofenac,3355,medium,brand_seed,PCT,false
VOLTARENE,VOLTARENE 50mg Comp.Gastro-résist. Bt 30,50mg,diclofenac,3355,medium,brand_seed,PCT,false
VOLTARENE,VOLTARENE 50mg Suppo. Bt 10,50mg,diclofenac,3355,medium,brand_seed,PCT,false
DIGOXIN SOPHARMA,DIGOXIN SOPHARMA 0.250mg Comp.Séc. Bt 20,0.250mg,digoxin,3407,high,label_alias:digoxin,PCT,false
DIGOXINE NATIVELLE,DIGOXINE NATIVELLE 0.250mg Comp. Bt 30,0.250mg,digoxin,3407,high,label_alias:digoxin,PCT,false
FUROSEMIDE,FUROSEMIDE 40mg Comp. Bt 20,40mg,furosemide,4603,high,label_alias:furosemide,PCT,false
