brand_name,full_label,strength,reason,source,needs_manual_review
ABBOTICINE,ABBOTICINE 200mg Pdre.Susp.Or. Fl 60ml,200mg,no_priority_inn_or_seed_match,PCT,true
ABILICARE,ABILICARE 10mg Comp. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
ABILIFY,ABILIFY 10mg Comp. Bt 28,10mg,no_priority_inn_or_seed_match,PCT,true
ABILIFY,ABILIFY 15mg Comp. Bt 28,15mg,no_priority_inn_or_seed_match,PCT,true
ABIRATERONE ACETATE NEAPOLIS,ABIRATERONE ACETATE NEAPOLIS 250mg Comp. Bt 120,250mg,no_priority_inn_or_seed_match,PCT,true
ABUFENE,ABUFENE 400mg Comp. Bt 30,400mg,no_priority_inn_or_seed_match,PCT,true
ACARBOSE ADWYA,ACARBOSE ADWYA 100mg Comp.Séc. Bt 90,100mg,no_priority_inn_or_seed_match,PCT,true
ACARBOSE ADWYA,ACARBOSE ADWYA 50mg Comp.Séc. Bt 90,50mg,no_priority_inn_or_seed_match,PCT,true
ACARLYSE,ACARLYSE 100mg Comp. Bt 90,100mg,no_priority_inn_or_seed_match,PCT,true
ACARLYSE,ACARLYSE 50mg Comp. Bt 90,50mg,no_priority_inn_or_seed_match,PCT,true
ACICLOVIR OPALIA,ACICLOVIR OPALIA 200mg Comp. Bt 30,200mg,no_priority_inn_or_seed_match,PCT,true
ACICLOVIR OPALIA,ACICLOVIR OPALIA 5% Crème Derm. Tb 5gr,5%,no_priority_inn_or_seed_match,PCT,true
ACICLOVIR OPALIA,ACICLOVIR OPALIA 8% Susp.Buv. Fl 125ml,8%,no_priority_inn_or_seed_match,PCT,true
ACIRYL,ACIRYL 150mg Gél. Bt 30,150mg,no_priority_inn_or_seed_match,PCT,true
ACIRYL,ACIRYL 150mg Gél. Bt 60,150mg,no_priority_inn_or_seed_match,PCT,true
ACIRYL,ACIRYL 75mg Gél. Bt 15,75mg,no_priority_inn_or_seed_match,PCT,true
ACIRYL,ACIRYL 75mg Gél. Bt 60,75mg,no_priority_inn_or_seed_match,PCT,true
ACLASTA,ACLASTA 5mg/100ml Sol.Inj.P.Perf. Fl 100ml,5mg/100ml,no_priority_inn_or_seed_match,PCT,true
ACNETA 10,ACNETA 10 10mg Gél. Bt 10,10mg,no_priority_inn_or_seed_match,PCT,true
ACNETA 10,ACNETA 10 10mg Gél. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
ACNETA 20,ACNETA 20 20mg Gél. Bt 10,20mg,no_priority_inn_or_seed_match,PCT,true
ACNETA 20,ACNETA 20 20mg Gél. Bt 30,20mg,no_priority_inn_or_seed_match,PCT,true
ACNETA 40,ACNETA 40 40mg Gél. Bt 30,40mg,no_priority_inn_or_seed_match,PCT,true
ACNETA 5,ACNETA 5 5mg Gél. Bt 10,5mg,no_priority_inn_or_seed_match,PCT,true
ACNETA 5,ACNETA 5 5mg Gél. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
ACTAFON,ACTAFON 160mg Comp.Orodisp. Bt 12,160mg,no_priority_inn_or_seed_match,PCT,true
ACTAFON,ACTAFON 80mg Comp.Orodisp. Bt 20,80mg,no_priority_inn_or_seed_match,PCT,true
ACTAPULGITE ENFANTS ET ADULTES,ACTAPULGITE ENFANTS ET ADULTES 3gr Pdre.P.Susp.Or. Bt 16Sach.,3g,no_priority_inn_or_seed_match,PCT,true
ACTAPULGITE Enf. Et Ad.,ACTAPULGITE Enf. Et Ad. 3gr Pdre.Susp.Or. Bt 100Sach.,3g,no_priority_inn_or_seed_match,PCT,true
ACTAPULGITE Nourr.,ACTAPULGITE Nourr. 1gr Pdre.Susp.Or. Bt 20sach,1g,no_priority_inn_or_seed_match,PCT,true
ACTEMRA,ACTEMRA 162mg/0.9ml Sol.Inj. Sous Cutanée Bt 4Ser. Pré-remplis (F),162mg/0.9ml,no_priority_inn_or_seed_match,PCT,true
ACTEMRA,ACTEMRA 200mg/10ml Sol.Inj.P.Perf. Bt 1Fl/10ml (F),200mg/10ml,no_priority_inn_or_seed_match,PCT,true
ACTEMRA,ACTEMRA 400mg/20ml Sol.Inj.P.Perf. Bt 1Fl/20ml (F),400mg/20ml,no_priority_inn_or_seed_match,PCT,true
ACTEMRA,ACTEMRA 80mg/4ml Sol.Inj.P.Perf. Bt 1Fl/4ml (F),80mg/4ml,no_priority_inn_or_seed_match,PCT,true
ACTHEANE,ACTHEANE Comp. Bt 120,,no_priority_inn_or_seed_match,PCT,true
ACTIFED,ACTIFED RHUME Comp. Bt 20,,no_priority_inn_or_seed_match,PCT,true
ACTIFED,ACTIFED RHUME ET FIEVRE Comp. Bt 16,,no_priority_inn_or_seed_match,PCT,true
ACTIFED,ACTIFED Vitamine C Comp.Pell. Bt 20,,no_priority_inn_or_seed_match,PCT,true
ACTILYSE,ACTILYSE 50mg Pdre.Prép.Inj Bt 1Fl+1Fl 50ml,50mg,no_priority_inn_or_seed_match,PCT,true
ACTIPP,ACTIPP 20mg Gél. Gastro-résist. Bt 16,20mg,no_priority_inn_or_seed_match,PCT,true
ACTIPP,ACTIPP 20mg Gél. Gastro-résistante Bt 28,20mg,no_priority_inn_or_seed_match,PCT,true
ACTIPP,ACTIPP 20mg Gél.Gastro-résist. Bt 8,20mg,no_priority_inn_or_seed_match,PCT,true
ACTIPP,ACTIPP 40mg Gél. Gastro-résistante Bt 28,40mg,no_priority_inn_or_seed_match,PCT,true
ACTIPP,ACTIPP 40mg Gél.Gastro-résist. Bt 16,40mg,no_priority_inn_or_seed_match,PCT,true
ACTISOUFRE,ACTISOUFRE 4mg/50mg/10ml Susp.Buv. ou Nasale Bt 30Amp./ 10ml,4mg/50mg,no_priority_inn_or_seed_match,PCT,true
ACTISOUFRE Sol. Pulv. Nas./Bucc. Fl,ACTISOUFRE Sol. Pulv. Nas./Bucc. Fl 100ml,100ml,no_priority_inn_or_seed_match,PCT,true
ACTOPRIL,ACTOPRIL 25mg Comp séc. Bt 60,25mg,no_priority_inn_or_seed_match,PCT,true
ACTOPRIL,ACTOPRIL 25mg Comp.Séc. Bt 500,25mg,no_priority_inn_or_seed_match,PCT,true
ACTOPRIL,ACTOPRIL 50mg Comp séc. Bt 30,50mg,no_priority_inn_or_seed_match,PCT,true
ACTOPRIL,ACTOPRIL 50mg Comp.Séc. Bt 500,50mg,no_priority_inn_or_seed_match,PCT,true
ACTOPRIL,ACTOPRIL 50mg Comp.Séc. Bt 60,50mg,no_priority_inn_or_seed_match,PCT,true
ACTOZID,ACTOZID 50mg/25mg Comp.Séc. Bt 30,50mg/25mg,no_priority_inn_or_seed_match,PCT,true
ACTRAPID,ACTRAPID 100UI/ml Sol.Inj. Fl 10ml (F),100UI,no_priority_inn_or_seed_match,PCT,true
ACTRAPID,ACTRAPID 100UI/ml Sol.Inj. Fl 10ml (F),100UI,no_priority_inn_or_seed_match,PCT,true
ACTRAPID PENFILL,ACTRAPID PENFILL 100UI/ml Susp.Inj. Bt 5Fl/3ml (F),100UI,no_priority_inn_or_seed_match,PCT,true
ACUILIX,ACUILIX 20mg Comp.Séc. Bt 28,20mg,no_priority_inn_or_seed_match,PCT,true
ACUITEL,ACUITEL 20mg Comp.Enr.Séc. Bt 28,20mg,no_priority_inn_or_seed_match,PCT,true
ACUITEL 5,ACUITEL 5 5mg Comp.Enr.Séc. Bt 28,5mg,no_priority_inn_or_seed_match,PCT,true
ACUPAN,ACUPAN 20mg Sol.Inj. Bt 5/2ml,20mg,no_priority_inn_or_seed_match,PCT,true
ADALATE RETARD,ADALATE RETARD 20mg Comp. LP Bt 20,20mg,no_priority_inn_or_seed_match,PCT,true
ADALATE RETARD,ADALATE RETARD 20mg Comp. LP Bt 750,20mg,no_priority_inn_or_seed_match,PCT,true
ADENAFIL,ADENAFIL 50mg Comp.Pell.Séc. Bt 1,50mg,no_priority_inn_or_seed_match,PCT,true
ADENAFIL,ADENAFIL 50mg Comp.Pell.Séc. Bt 2,50mg,no_priority_inn_or_seed_match,PCT,true
ADENAFIL,ADENAFIL 50mg Comp.Pell.Séc. Bt 4,50mg,no_priority_inn_or_seed_match,PCT,true
ADEX,ADEX 2.5mg Comp. Bt 30,2.5mg,no_priority_inn_or_seed_match,PCT,true
ADEX LP,ADEX LP 1.5mg Comp. à Libération Prolongée Bt 30,1.5mg,no_priority_inn_or_seed_match,PCT,true
ADOFEN,ADOFEN 20mg/ml Susp. Buv. Fl 120ml,20mg,no_priority_inn_or_seed_match,PCT,true
ADOL,ADOL 1000mg Comp.Séc. Bt 8,1000mg,no_priority_inn_or_seed_match,PCT,true
ADOL,ADOL 100mg/ml Gouttes Buv. Fl 15ml,100mg,no_priority_inn_or_seed_match,PCT,true
ADOL,ADOL 500mg Comp. Bt 15,500mg,no_priority_inn_or_seed_match,PCT,true
ADOL,ADOL 500mg Comp. Bt 150,500mg,no_priority_inn_or_seed_match,PCT,true
ADOL EXTRA,ADOL EXTRA 500mg/65mg Comp.Pell. Bt 20,500mg/65mg,no_priority_inn_or_seed_match,PCT,true
ADOLINE,ADOLINE 500mg Comp. Bt 10,500mg,no_priority_inn_or_seed_match,PCT,true
ADOLINE,ADOLINE 500mg Comp. Bt 20,500mg,no_priority_inn_or_seed_match,PCT,true
ADOLINE FORT,ADOLINE FORT 400mg/25mg Comp. Bt 20,400mg/25mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Bt 18,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Bt 30,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Bt 60,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Fl 14,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Fl 28,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Fl 56,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 75mg Gél. Fl 14,75mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 75mg Gél. Fl 30,75mg,no_priority_inn_or_seed_match,PCT,true
ADRENALINE MEDIS sans conservateur,ADRENALINE MEDIS sans conservateur 1mg/1ml Sol.Inj. Bt 10/1ml,1mg/1ml,no_priority_inn_or_seed_match,PCT,true
ADRENALINE SOPHARMA,ADRENALINE SOPHARMA 1mg/ml Sol.Inj. Bt 10/1ml,1mg,no_priority_inn_or_seed_match,PCT,true
ADRENOL 1 (Avec sulfite),ADRENOL 1 (Avec sulfite) 1mg/ml Sol.Inj. Bt 100 Amp./1ml,1mg,no_priority_inn_or_seed_match,PCT,true
ADRENOL 1 (sans sulfites),ADRENOL 1 (sans sulfites) 1mg/ml Sol.Inj. Bt 100/1ml,1mg,no_priority_inn_or_seed_match,PCT,true
ADRIBLASTINE,ADRIBLASTINE 10mg/5ml Sol.P.Perf. Bt 1Fl/5ml (F),10mg/5ml,no_priority_inn_or_seed_match,PCT,true
ADRIBLASTINE,ADRIBLASTINE 50mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml (F),50mg/25ml,no_priority_inn_or_seed_match,PCT,true
ADVAGRAF LP,ADVAGRAF LP 0.5mg Gél. à libération prolongée Bt 100,0.5mg,no_priority_inn_or_seed_match,PCT,true
ADYBREX,ADYBREX 200mg Gél. Bt 10,200mg,no_priority_inn_or_seed_match,PCT,true
ADYBREX,ADYBREX 200mg Gél. Bt 20,200mg,no_priority_inn_or_seed_match,PCT,true
ADYBREX,ADYBREX 200mg Gél. Bt 30,200mg,no_priority_inn_or_seed_match,PCT,true
ADYFLU,ADYFLU 75mg Gél. Bt 10,75mg,no_priority_inn_or_seed_match,PCT,true
AERIUS,AERIUS 0.5mg/ml Sol.Buv. Fl 150ml,0.5mg,no_priority_inn_or_seed_match,PCT,true
AERIUS,AERIUS 5mg Comp.Pell. Bt 15,5mg,no_priority_inn_or_seed_match,PCT,true
AEROFOR,AEROFOR 12µg Gél. Bt 30 +Inhalateur,,no_priority_inn_or_seed_match,PCT,true
AEROFOR,AEROFOR 12µg Gél. Bt 60 +Inhalateur,,no_priority_inn_or_seed_match,PCT,true
AEROL,AEROL 100µg Aérosol Fl 200 Doses,,no_priority_inn_or_seed_match,PCT,true
AEROL,AEROL 100µg Aérosol Fl 200Doses,,no_priority_inn_or_seed_match,PCT,true
AERONIDE 200µg Pdre P.Inha.Bucc. Bt,AERONIDE 200µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur,60G,no_priority_inn_or_seed_match,PCT,true
AERONIDE 400µg Pdre P.Inha.Bucc. Bt,AERONIDE 400µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur,60G,no_priority_inn_or_seed_match,PCT,true
AFINITOR,AFINITOR 10mg Comp. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
AFINITOR,AFINITOR 5mg Comp. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
AFTAGEL Gel Buccal Tb,AFTAGEL Gel Buccal Tb 15ml,15ml,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 2% Crème Derm. Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 2% Crème Derm.Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 2% Pde.Derm. Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 250mg Comp.Pell. Bt 10,250mg,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 250mg Comp.Pell. Bt 20,250mg,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC PLUS,AFUSIDIC PLUS 2% Crème Derm. Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AGRIPPAL S1 Susp.Inj. Bt 1Ser./,AGRIPPAL S1 Susp.Inj. Bt 1Ser./0.5ml (F),0.5ml,no_priority_inn_or_seed_match,PCT,true
