EPC_Class_ID,EPC_Class_Name,Drug_Name,RxCUI,Drug_Type
N0000175413,Platinum-based Drug,cisplatin,2555,IN
N0000175413,Platinum-based Drug,oxaliplatin,32592,IN
N0000175413,Platinum-based Drug,carboplatin,40048,IN
N0000175414,Anthracycline Topoisomerase Inhibitor,daunorubicin,3109,IN
N0000175414,Anthracycline Topoisomerase Inhibitor,doxorubicin,3639,IN
N0000175414,Anthracycline Topoisomerase Inhibitor,epirubicin,3995,IN
N0000175414,Anthracycline Topoisomerase Inhibitor,idarubicin,5650,IN
N0000175415,Nitrate Vasodilator,isosorbide mononitrate,28004,PIN
N0000175415,Nitrate Vasodilator,nitroglycerin,4917,IN
N0000175415,Nitrate Vasodilator,isosorbide dinitrate,6058,IN
N0000175416,Prostacycline Vasodilator,treprostinil,343048,IN
N0000175416,Prostacycline Vasodilator,epoprostenol,8814,IN
N0000175418,Potassium-sparing Diuretic,triamterene,10763,IN
N0000175418,Potassium-sparing Diuretic,amiloride,644,IN
N0000175419,Thiazide Diuretic,bendroflumethiazide,1369,IN
N0000175419,Thiazide Diuretic,chlorothiazide,2396,IN
N0000175419,Thiazide Diuretic,hydrochlorothiazide,5487,IN
N0000175419,Thiazide Diuretic,hydroflumethiazide,5495,IN
N0000175419,Thiazide Diuretic,polythiazide,8565,IN
N0000175420,Thiazide-like Diuretic,chlorthalidone,2409,IN
N0000175420,Thiazide-like Diuretic,indapamide,5764,IN
N0000175420,Thiazide-like Diuretic,metolazone,6916,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,amlodipine,17767,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,clevidipine,233603,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,isradipine,33910,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,felodipine,4316,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,nicardipine,7396,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,nifedipine,7417,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,nimodipine,7426,IN
N0000175421,Dihydropyridine Calcium Channel Blocker,nisoldipine,7435,IN
N0000175423,Sympathomimetic Amine Anorectic,benzphetamine,1422,IN
N0000175423,Sympathomimetic Amine Anorectic,phendimetrazine,33272,IN
N0000175423,Sympathomimetic Amine Anorectic,diethylpropion,3389,IN
N0000175423,Sympathomimetic Amine Anorectic,phentermine,8152,IN
N0000175425,Amphetamine Anorectic,methamphetamine,6816,IN
N0000175426,Antiarrhythmic,dronedarone,233698,IN
N0000175426,Antiarrhythmic,disopyramide,3541,IN
N0000175426,Antiarrhythmic,ibutilide,41289,IN
N0000175426,Antiarrhythmic,flecainide,4441,IN
N0000175426,Antiarrhythmic,dofetilide,49247,IN
N0000175426,Antiarrhythmic,lidocaine,6387,IN
N0000175426,Antiarrhythmic,mexiletine,6926,IN
N0000175426,Antiarrhythmic,amiodarone,703,IN
N0000175426,Antiarrhythmic,procainamide,8700,IN
N0000175426,Antiarrhythmic,propafenone,8754,IN
N0000175426,Antiarrhythmic,quinidine,9068,IN
N0000175426,Antiarrhythmic,sotalol,9947,IN
N0000175427,Anti-anginal,ranolazine,35829,IN
N0000175428,Glinide,nateglinide,274332,IN
N0000175428,Glinide,repaglinide,73044,IN
N0000175429,Antidote,levomefolic acid,1025342,PIN
N0000175429,Antidote,Centruroides (scorpion) immune F(ab')2 (equine),1119986,IN
N0000175429,Antidote,insulin detemir,139825,IN
N0000175429,Antidote,fomepizole,15226,IN
N0000175429,Antidote,insulin degludec,1670007,IN
N0000175429,Antidote,acetylcysteine,197,IN
N0000175429,Antidote,prussian blue insoluble,24902,IN
N0000175429,Antidote,"insulin, regular, human",253182,IN
