brand_name,inn_raw,full_text,strength
ABBOTICINE,,ABBOTICINE 200mg Pdre.Susp.Or. Fl 60ml,200mg
ABILICARE,,ABILICARE 10mg Comp. Bt 30,10mg
ABILIFY,,ABILIFY 10mg Comp. Bt 28,10mg
ABILIFY,,ABILIFY 15mg Comp. Bt 28,15mg
ABIRATERONE,,ABIRATERONE ACETATE NEAPOLIS 250mg Comp. Bt 120,250mg
ABUFENE,,ABUFENE 400mg Comp. Bt 30,400mg
ACARBOSE,,ACARBOSE ADWYA 100mg Comp.Séc. Bt 90,100mg
ACARBOSE,,ACARBOSE ADWYA 50mg Comp.Séc. Bt 90,50mg
ACARLYSE,,ACARLYSE 100mg Comp. Bt 90,100mg
ACARLYSE,,ACARLYSE 50mg Comp. Bt 90,50mg
ACETYLSALICYLATE,,ACETYLSALICYLATE DE LYSINE LABESFAL 500mg Pdre.Prép.Inj. Bt/6+6,500mg
ACICLOVIR,,ACICLOVIR OPALIA 200mg Comp. Bt 30,200mg
ACICLOVIR,,ACICLOVIR OPALIA 5% Crème Derm. Tb 5gr,5g
ACICLOVIR,,ACICLOVIR OPALIA 8% Susp.Buv. Fl 125ml,125ml
ACIRYL,,ACIRYL 150mg Gél. Bt 30,150mg
ACIRYL,,ACIRYL 150mg Gél. Bt 60,150mg
ACIRYL,,ACIRYL 75mg Gél. Bt 15,75mg
ACIRYL,,ACIRYL 75mg Gél. Bt 60,75mg
ACLASTA,,ACLASTA 5mg/100ml Sol.Inj.P.Perf. Fl 100ml,5mg
ACNETA,,ACNETA 10 10mg Gél. Bt 10,10mg
ACNETA,,ACNETA 10 10mg Gél. Bt 30,10mg
ACNETA,,ACNETA 20 20mg Gél. Bt 10,20mg
ACNETA,,ACNETA 20 20mg Gél. Bt 30,20mg
ACNETA,,ACNETA 40 40mg Gél. Bt 30,40mg
ACNETA,,ACNETA 5 5mg Gél. Bt 10,5mg
ACNETA,,ACNETA 5 5mg Gél. Bt 30,5mg
ACTAFON,,ACTAFON 160mg Comp.Orodisp. Bt 12,160mg
ACTAFON,,ACTAFON 80mg Comp.Orodisp. Bt 20,80mg
ACTAPULGITE,,ACTAPULGITE Enf. Et Ad. 3gr Pdre.Susp.Or. Bt 100Sach.,3g
ACTAPULGITE,,ACTAPULGITE ENFANTS ET ADULTES 3gr Pdre.P.Susp.Or. Bt 16Sach.,3g
ACTAPULGITE,,ACTAPULGITE Nourr. 1gr Pdre.Susp.Or. Bt 20sach,1g
ACTEMRA,F,ACTEMRA 162mg/0.9ml Sol.Inj. Sous Cutanée Bt 4Ser. Pré-remplis (F),162mg
ACTEMRA,F,ACTEMRA 200mg/10ml Sol.Inj.P.Perf. Bt 1Fl/10ml (F),200mg
ACTEMRA,F,ACTEMRA 400mg/20ml Sol.Inj.P.Perf. Bt 1Fl/20ml (F),400mg
ACTEMRA,F,ACTEMRA 80mg/4ml Sol.Inj.P.Perf. Bt 1Fl/4ml (F),80mg
ACTHEANE,,ACTHEANE Comp. Bt 120,N/A
ACTIFED,,ACTIFED RHUME Comp. Bt 20,N/A
ACTIFED,,ACTIFED RHUME ET FIEVRE Comp. Bt 16,N/A
ACTIFED,,ACTIFED Vitamine C Comp.Pell. Bt 20,N/A
ACTILYSE,,ACTILYSE 50mg Pdre.Prép.Inj Bt 1Fl+1Fl 50ml,50mg
ACTIPP,,ACTIPP 20mg Gél. Gastro-résist. Bt 16,20mg
ACTIPP,,ACTIPP 20mg Gél. Gastro-résistante  Bt 28,20mg
ACTIPP,,ACTIPP 20mg Gél.Gastro-résist. Bt 8,20mg
ACTIPP,,ACTIPP 40mg Gél. Gastro-résistante Bt 28,40mg
ACTIPP,,ACTIPP 40mg Gél.Gastro-résist. Bt 16,40mg
ACTISOUFRE,,ACTISOUFRE 4mg/50mg/10ml Susp.Buv. ou Nasale Bt 30Amp./ 10ml,4mg
