"option_type","value","label","css_class","source_url","scraped_at_utc"
"laboratory","1001","A.BAILLY-CREAT","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0181","A.P.M JORDANIE (ADVENCED)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1002","ABBOTT INTERNATIONAL","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1140","ABBOTT PRODUCTS (EX. SOLVAY PHARMA)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7223","ABBVIE LOGISTICS B.V.","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7315","ABDI IBRAHIM","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7462","ACARPIA FARMACEUTICI srl","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1112","ACINO PHARMA AG (Ex-NORGINE PHARMA)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7082","ACINO SUPPLY AG","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7304","ACT PHARMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7140","ACTELION PHARMACEUTICALS Ltd","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7386","ADAMED PHARMA S.A. (EX-PHARMACEUTICAL WORKS POLFA)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1132","ADARE PHARMACEUTICALS SAS (EX-APTALIS)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7468","ADVANS PHARMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0910","ADWYA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1236","AGUETTANT","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0194","AL HIKMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1230","ALCON PHARMACEUTICALS Ltd","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1003","ALCON PHARMACEUTICALS LTD (A.P.L)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1022","ALDO-UNION","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1018","ALFASIGMA FRANCE (EX:ALFA WASSERMANN PHARMA (EX-IPRAD))","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","2659","ALFASIGMA FRANCE(EX:SIGMA-TAU FRANCE)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1195","ALFASIGMA S.P.A","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1051","ALLERGAN-EUROCENTRE","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","2995","ALLIANCE PHARMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7142","AMDIPHARM LIMITED","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1041","AMGEN","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0182","Amman Pharmaceutical Industries (API)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1039","AMO FRANCE SAS","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","2221","ANGELINI PHARMA HELLAS S.A(EX-FARAN)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1036","ANTIBIOTICE SA Iasi","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0259","APOTEX INC","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7465","AqVida GmbH","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7104","ASPEN HEALTH CARE","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7187","ASTELLAS PHARMA INTERNATIONAL BV","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7160","ASTRA ZENECA UK LTD","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1009","ASTRA-ZENECA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7416","ATNAHS PHARMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0040","AVENTIS PHARMA INTERNATIONAL S.A(H.M.R)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
