Brand Name,INN (DCI),Form,Strength,Marketing Authorization Number,Laboratory
ACETYLSALICYLATE,Acetylsalicylate,DE LYSINE LABESFAL  Pdre.Prép.Inj. Bt/6+6,500mg,PCT-3634048230,PCT Catalog Asset
AMLODIPINE,Amlodipine,MEDIS  Comp.Pell.Séc. Bt 30,10mg,PCT-3016338768,PCT Catalog Asset
AMLODIPINE,Amlodipine,MEDIS  Comp.Pell.Séc. Bt 90,10mg,PCT-3307333627,PCT Catalog Asset
AMLODIPINE,Amlodipine,MEDIS  Comp.Pell.Séc. Bt 30,5mg,PCT-3952669603,PCT Catalog Asset
AMLODIPINE,Amlodipine,MEDIS  Comp.Pell.Séc. Bt 90,5mg,PCT-3906506266,PCT Catalog Asset
AMLODIPINE,Amlodipine,ZENTIVA  Comp Séc. Bt 30,10mg,PCT-2430543408,PCT Catalog Asset
AMLODIPINE,Amlodipine,ZENTIVA  Comp Séc. Bt 30,5mg,PCT-3290317287,PCT Catalog Asset
AMOXICILLINE,Amoxicillin,SANOFI  Comp.Disp. Bt 12,1g,PCT-3732045364,PCT Catalog Asset
AMOXICILLINE,Amoxicillin,SANOFI /5ml Pdre.P.Susp.Or. Fl 60ml +Cuill.Dos.,250mg,PCT-3740509836,PCT Catalog Asset
AMOXICILLINE,Amoxicillin,SANOFI  Gél. Bt 24,500mg,PCT-4103374370,PCT Catalog Asset
AMOXICILLINE,Amoxicillin,SANOFI /5ml Pdre.P.Susp.Or. Fl 60ml +Cuill.Dos.,500mg,PCT-3828257821,PCT Catalog Asset
AMOXICILLINE,Amoxicillin,ZENTIVA  Gél. Bt 24,500mg,PCT-4211869717,PCT Catalog Asset
AMOXICILLINE/ACIDE,Amoxicillin,CLAVULANIQUE PANPHARMA ADULTES r/200mg Pdre.P.Prép.Inj. Bt 25Fl SS,1g,PCT-2415872808,PCT Catalog Asset
AMOXICILLINE/ACIDE,Amoxicillin,CLAVULANIQUE PANPHARMA ADULTES r/200mg Pdre.P.Prép.Inj. Bt 10Fl SS,2g,PCT-3338279356,PCT Catalog Asset
ASPIRINE,Aspirine,Comp. Bt 20,500mg,PCT-3212848701,PCT Catalog Asset
ASPIRINE,Aspirine,Comp. Bt 500,500mg,PCT-459230339,PCT Catalog Asset
ASPIRINE,Aspirine,PH 8  Comp.Pell. Bt 20,500mg,PCT-2175349878,PCT Catalog Asset
