"row_number","medicine_label","medicine_value","brand_guess","strength_guess","source_url","scraped_at_utc"
"1","ABBOTICINE 200mg Pdre.Susp.Or. Fl 60ml","ABBOTICINE 200mg Pdre.Susp.Or. Fl 60ml","ABBOTICINE","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"2","ABILICARE 10mg Comp. Bt 30","ABILICARE 10mg Comp. Bt 30","ABILICARE","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"3","ABILIFY 10mg Comp. Bt 28","ABILIFY 10mg Comp. Bt 28","ABILIFY","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"4","ABILIFY 15mg Comp. Bt 28","ABILIFY 15mg Comp. Bt 28","ABILIFY","15mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"5","ABIRATERONE ACETATE NEAPOLIS 250mg Comp. Bt 120","ABIRATERONE ACETATE NEAPOLIS 250mg Comp. Bt 120","ABIRATERONE ACETATE NEAPOLIS","250mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"6","ABUFENE 400mg Comp. Bt 30","ABUFENE 400mg Comp. Bt 30","ABUFENE","400mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"7","ACARBOSE ADWYA 100mg Comp.Séc. Bt 90","ACARBOSE ADWYA 100mg Comp.Séc. Bt 90","ACARBOSE ADWYA","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"8","ACARBOSE ADWYA 50mg Comp.Séc. Bt 90","ACARBOSE ADWYA 50mg Comp.Séc. Bt 90","ACARBOSE ADWYA","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"9","ACARLYSE 100mg Comp. Bt 90","ACARLYSE 100mg Comp. Bt 90","ACARLYSE","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"10","ACARLYSE 50mg Comp. Bt 90","ACARLYSE 50mg Comp. Bt 90","ACARLYSE","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"11","ACETYLSALICYLATE DE LYSINE LABESFAL 500mg Pdre.Prép.Inj. Bt/6+6","ACETYLSALICYLATE DE LYSINE LABESFAL 500mg Pdre.Prép.Inj. Bt/6+6","ACETYLSALICYLATE DE LYSINE LABESFAL","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"12","ACICLOVIR OPALIA 200mg Comp. Bt 30","ACICLOVIR OPALIA 200mg Comp. Bt 30","ACICLOVIR OPALIA","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"13","ACICLOVIR OPALIA 5% Crème Derm. Tb 5gr","ACICLOVIR OPALIA 5% Crème Derm. Tb 5gr","ACICLOVIR OPALIA","5%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"14","ACICLOVIR OPALIA 8% Susp.Buv. Fl 125ml","ACICLOVIR OPALIA 8% Susp.Buv. Fl 125ml","ACICLOVIR OPALIA","8%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"15","ACIRYL 150mg Gél. Bt 30","ACIRYL 150mg Gél. Bt 30","ACIRYL","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"16","ACIRYL 150mg Gél. Bt 60","ACIRYL 150mg Gél. Bt 60","ACIRYL","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"17","ACIRYL 75mg Gél. Bt 15","ACIRYL 75mg Gél. Bt 15","ACIRYL","75mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"18","ACIRYL 75mg Gél. Bt 60","ACIRYL 75mg Gél. Bt 60","ACIRYL","75mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"19","ACLASTA 5mg/100ml Sol.Inj.P.Perf. Fl 100ml","ACLASTA 5mg/100ml Sol.Inj.P.Perf. Fl 100ml","ACLASTA","5mg/100ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
